length,digits,hyphens,brand_sim,suspicious_tld,keywords,domain,label
8,0,0,0.3077,0,0,tevi.net,legit
8,0,0,0.4,0,0,speee.jp,legit
16,0,1,0.4545,0,0,astana-motors.kz,legit
8,0,0,0.4,0,0,jlove.gr,legit
23,0,0,0.4286,0,0,clingcratemoistness.com,legit
12,0,0,0.5556,0,0,newsstand.ie,legit
11,0,0,0.3333,0,0,enseval.com,legit
16,0,0,0.5714,0,0,tankretailer.com,legit
19,0,0,0.4,0,0,georgesapproval.com,legit
13,0,0,0.3333,0,0,gaudibebe.com,legit
15,1,0,0.3529,0,0,eocampaign1.com,legit
11,0,0,0.4615,0,0,batinfo.com,legit
11,0,0,0.5714,0,0,likerro.com,legit
13,0,0,0.3333,0,0,mymagnifi.org,legit
12,0,0,0.4286,0,0,sabay.com.kh,legit
16,0,0,0.3636,0,0,opensolutions.pt,legit
16,0,0,0.2857,1,0,sucsscesfull.top,phishing
15,0,0,0.3529,0,0,ruggedridge.com,legit
10,0,0,0.3077,0,0,jslxhl.com,legit
10,1,0,0.2667,0,0,4media.com,legit
23,1,0,0.3571,0,0,3pattigamesdownload.com,legit
9,0,0,0.4,0,0,plako.net,legit
9,3,0,0.0,0,0,094kk.com,legit
9,1,0,0.3333,0,0,6abbo.com,legit
14,0,0,0.375,0,0,tidholmart.com,legit
8,0,0,0.3636,0,0,axaim.cn,legit
12,0,0,0.3077,0,0,orcajump.com,legit
12,0,0,0.3333,0,0,militaria.it,legit
20,3,0,0.1333,0,0,09cbd1.icefactory.cl,phishing
19,0,0,0.4348,0,0,schachcomputer.info,legit
20,0,0,0.3846,0,0,xlcatlinsyndicate.fr,legit
17,0,1,0.4211,0,0,rengas-online.com,legit
19,0,0,0.2857,0,0,serverbasket.net.in,legit
18,0,0,0.4348,0,0,strongerstarts.com,legit
15,0,0,0.5333,0,0,callflex.com.br,legit
12,0,0,0.5556,0,0,franfindr.in,legit
15,7,0,0.1333,0,0,c019jp7984.info,legit
13,0,0,0.375,0,0,marmite.co.uk,legit
25,0,1,0.3333,0,0,creditunion-authority.com,phishing
14,2,0,0.2667,0,0,blog66but.shop,legit
16,0,0,0.3158,0,0,sportthinking.it,legit
34,9,4,0.1379,0,0,cc725-a82w4-4c9q-xqs-ze8.pages.dev,phishing
10,0,0,0.4615,0,0,biznext.in,legit
15,0,0,0.4444,0,0,shimabara.lg.jp,legit
31,0,0,0.3636,0,1,login.microsoftonline.hmvegn.ie,phishing
5,0,0,0.25,0,0,ti.to,legit
10,0,0,0.3333,0,0,maf.gov.om,legit
15,0,1,0.375,0,0,tts-group.co.uk,legit
17,0,0,0.4211,0,0,gravitysplash.com,legit
11,2,0,0.0,0,0,38v.network,legit
11,0,0,0.5455,0,0,maro.coffee,legit
25,0,0,0.3704,0,0,edgewoodhealthnetwork.com,legit
17,0,0,0.375,0,0,atlasvpska.online,legit
11,0,0,0.4,0,0,meganorm.ru,legit
18,0,1,0.4762,0,0,pusat-nonton.space,legit
11,2,0,0.25,0,0,bb44com.net,legit
13,0,0,0.3333,0,0,openice.cloud,legit
9,0,0,0.25,0,0,vax.co.uk,legit
12,0,0,0.3333,0,0,velenjcan.si,legit
10,0,0,0.2667,0,0,cjbgxt.com,legit
7,0,1,0.3077,0,0,dn-r.ru,legit
49,5,2,0.2963,0,0,ajustedeutilizacao.s3.us-east-005.backblazeb2.com,phishing
13,0,0,0.2667,0,0,flashscore.pt,legit
8,0,0,0.5455,0,0,mego.pet,legit
11,0,0,0.3077,0,0,dnsfree.net,legit
11,0,0,0.5,0,0,anycart.com,legit
9,0,0,0.3636,0,0,lakns.com,legit
18,0,0,0.4348,0,0,testpapersfree.com,legit
7,0,0,0.4615,0,0,mods.dk,legit
14,0,0,0.2857,0,0,yokumoku.co.jp,legit
12,0,1,0.2857,0,0,spy-duck.com,legit
16,0,0,0.3529,0,0,nautilusplus.com,legit
19,0,0,0.3333,0,0,bancoserfinanza.com,legit
9,3,0,0.2,0,0,500px.org,legit
11,0,0,0.4706,0,0,arabnews.pk,legit
13,0,0,0.4706,0,0,gestinet.info,legit
8,0,0,0.2857,0,0,covid.is,legit
34,0,3,0.3636,0,0,connect-start-ledger-ens.pages.dev,phishing
13,0,0,0.3333,0,0,dcsheriff.net,legit
7,0,0,0.2,0,0,wwtx.ru,legit
10,0,0,0.5333,0,0,osmand.net,legit
20,0,1,0.2857,0,0,joymark-design.co.jp,legit
12,8,0,0.0,0,0,97777779.com,legit
8,0,0,0.4,0,0,gmail.hu,legit
12,1,0,0.375,0,0,europace2.de,legit
12,0,0,0.4286,0,0,kamailio.org,legit
36,0,3,0.3333,0,0,live-apps-outlook-connect.abrdns.com,phishing
18,0,1,0.5833,0,0,matthias-endler.de,legit
14,0,0,0.3529,0,0,sportvision.mk,legit
8,2,0,0.2222,0,0,lc77.net,phishing
17,0,1,0.3636,0,0,szene-hamburg.com,legit
11,0,0,0.4286,0,0,namirial.fr,legit
6,0,0,0.3333,0,0,ikf.ir,legit
9,0,0,0.3333,0,0,ktell.net,legit
14,0,1,0.3,0,0,architas-mm.be,legit
17,0,0,0.4,0,0,electrolandgh.com,legit
14,0,0,0.3158,0,0,verdictmma.com,legit
13,0,0,0.5,0,0,gelgezgor.com,legit
18,0,0,0.4167,0,0,babylandonlinee.ir,legit
9,0,0,0.6,0,0,uppcl.org,legit
